epoch=1, loss=0.49, accuracy= 0.83
Validation loss=0.42, accuracy= 0.85
epoch=2, loss=0.39, accuracy= 0.86
Validation loss=0.40, accuracy= 0.85
epoch=3, loss=0.36, accuracy= 0.87
Validation loss=0.39, accuracy= 0.86
epoch=4, loss=0.34, accuracy= 0.88
Validation loss=0.39, accuracy= 0.86
epoch=5, loss=0.33, accuracy= 0.88
Validation loss=0.40, accuracy= 0.86
epoch=6, loss=0.32, accuracy= 0.89
Validation loss=0.40, accuracy= 0.86
epoch=7, loss=0.31, accuracy= 0.89
Validation loss=0.39, accuracy= 0.86
epoch=8, loss=0.30, accuracy= 0.89
Validation loss=0.39, accuracy= 0.86
epoch=9, loss=0.30, accuracy= 0.89
Validation loss=0.39, accuracy= 0.86
epoch=10, loss=0.29, accuracy= 0.90
Validation loss=0.40, accuracy= 0.86
epoch=11, loss=0.28, accuracy= 0.90
Validation loss=0.38, accuracy= 0.87
epoch=12, loss=0.28, accuracy= 0.90
Validation loss=0.39, accuracy= 0.87
epoch=13, loss=0.27, accuracy= 0.90
Validation loss=0.38, accuracy= 0.87
epoch=14, loss=0.27, accuracy= 0.90
Validation loss=0.39, accuracy= 0.87
epoch=15, loss=0.26, accuracy= 0.90
Validation loss=0.40, accuracy= 0.86
epoch=16, loss=0.26, accuracy= 0.91
Validation loss=0.39, accuracy= 0.86
epoch=17, loss=0.25, accuracy= 0.91
Validation loss=0.40, accuracy= 0.86
Validation loss=0.43, accuracy= 0.86
